Rank,Species (50 CFR Part 17),Stat- us,"SpeciesTotal","CumulativeTotal","CumulativePercent"
295,"Barberry, Nevin's (Berberis nevinii)",E,"57,200","636,390,653",98.27
296,"Lupine, clover (Lupinus tidestromii)",E,"57,000","636,447,653",98.28
297,"Rabbit, Lower Keys marsh (Sylvilagus palustris hefneri)",E,"56,100","636,503,753",98.29
297,"Riffleshell, northern (Epioblasma torulosa rangiana)",E,"56,100","636,559,853",98.3
299,"Bankclimber, purple (mussel) (Elliptoideus sloatianus)",T,"55,700","636,615,553",98.31
300,"Bird's-beak, salt marsh (Cordylanthus maritimus ssp. maritimus)",E,"55,500","636,671,053",98.32
301,"Milk-vetch, Braunton's (Astragalus brauntonii)",E,"55,400","636,726,453",98.32
302,Pondberry (Lindera melissifolia),E,"54,193","636,780,646",98.33
303,"Daisy, Maguire (Erigeron maguirei)",T,"53,300","636,833,946",98.34
304,"Orchid, eastern prairie fringed (Platanthera leucophaea)",T,"53,140","636,887,086",98.35
305,"Darter, leopard (Percina pantherina)",T,"52,600","636,939,686",98.36
306,"Bird's-beak, soft (Cordylanthus mollis ssp. mollis)",E,"52,200","636,991,886",98.37
307,"Pitcher-plant, green (Sarracenia oreophila)",E,"52,000","637,043,886",98.37
308,"Springsnail, Idaho (Fontelicella idahoensis)",E,"51,500","637,095,386",98.38
309,"Amphipod, Illinois cave (Gammarus acherondytes)",E,"51,300","637,146,686",98.39
310,"Combshell, southern (Epioblasma penita)",E,"51,000","637,197,686",98.4
311,"Salamander, Texas blind (Typhlomolge rathbuni)",E,"50,800","637,248,486",98.4
312,"Clubshell, ovate (Pleurobema perovatum)",E,"50,600","637,299,086",98.41
313,"Mouse, Perdido Key beach (Peromyscus polionotus trissyllepsis)",E,"50,350","637,349,436",98.42
314,"Aster, decurrent false (Boltonia decurrens)",T,"50,230","637,399,666",98.43
315,"Townsendia, Last Chance (Townsendia aprica)",T,"50,200","637,449,866",98.44
316,"Iguana, Mona ground (Cyclura stejnegeri)",T,"50,000","637,499,866",98.44
316,"Springfish, White River (Crenichthys baileyi baileyi)",E,"50,000","637,549,866",98.45
318,"Chub, Owens tui (Gila bicolor snyderi)",E,"49,900","637,599,766",98.46
318,"Elktoe, Appalachian (Alasmidonta raveneliana)",E,"49,900","637,649,666",98.47
318,"Silversword, Mauna Loa (=Ka'u) (Argyroxiphium kauense)",E,"49,900","637,699,566",98.47
321,"Thistle, Suisun (Cirsium hydrophilum var. hydrophilum)",E,"49,700","637,749,266",98.48
322,"Salamander, Red Hills (Phaeognathus hubrichti)",T,"49,500","637,798,766",98.49
323,"Sunflower, Schweinitz's (Helianthus schweinitzii)",E,"49,200","637,847,966",98.5
324,Ko`oloa`ula (Abutilon menziesii),E,"49,150","637,897,116",98.5
325,Harperella (Ptilimnium nodosum),E,"49,140","637,946,256",98.51
326,"Springsnail, Bruneau Hot (Pyrgulopsis bruneauensis)",E,"49,100","637,995,356",98.52
327,"Snake, Lake Erie water (Nerodia sipedon insularum)",T,"48,600","638,043,956",98.53
328,"Darter, Niangua (Etheostoma nianguae)",T,"48,000","638,091,956",98.53
328,Uhiuhi (Caesalpinia kavaiense),E,"48,000","638,139,956",98.54
330,"Shiner, blue (Cyprinella caerulea)",T,"47,800","638,187,756",98.55
331,"Wartyback, white (pearlymussel) (Plethobasus cicatricosus)",E,"47,771","638,235,527",98.56
332,"Squirrel, Carolina northern flying (Glaucomys sabrinus coloratus)",E,"47,000","638,282,527",98.56
333,"Salamander, Sonora tiger (Ambystoma tigrinum stebbinsi)",E,"46,500","638,329,027",98.57
334,"Crayfish, Shasta (Pacifastacus fortis)",E,"46,200","638,375,227",98.58
335,"Turtle, Alabama red-belly (Pseudemys alabamensis)",E,"46,000","638,421,227",98.59
335,"Larkspur, Baker's (Delphinium bakeri)",E,"46,000","638,467,227",98.59
335,"Spineflower, Howell's (Chorizanthe howellii)",E,"46,000","638,513,227",98.6
338,"Bush-clover, prairie (Lespedeza leptostachya)",T,"45,975","638,559,202",98.61
339,"Milk-vetch, Applegate's (Astragalus applegatei)",E,"45,700","638,604,902",98.61
340,"Sparrow, San Clemente sage (Amphispiza belli clementeae)",T,"45,500","638,650,402",98.62
340,"Darter, Cherokee (Etheostoma scotti)",T,"45,500","638,695,902",98.63
342,"Trout, Paiute cutthroat (Oncorhynchus clarki seleniris)",T,"45,300","638,741,202",98.64
343,"Torreya, Florida (Torreya taxifolia)",E,"45,100","638,786,302",98.64
344,`Anaunau (Lepidium arbuscula),E,"45,038","638,831,340",98.65
345,"Larkspur, yellow (Delphinium luteum)",E,"45,000","638,876,340",98.66
345,Neraudia angulata (=Sci name),E,"45,000","638,921,340",98.66
347,"Pigtoe, southern (Pleurobema georgianum)",E,"44,300","638,965,640",98.67
348,"Phlox, Texas trailing (Phlox nivalis ssp. texensis)",E,"44,200","639,009,840",98.68
349,"Pupfish, Comanche Springs (Cyprinodon elegans)",E,"43,900","639,053,740",98.68
350,"Butterfly, Fender's blue (Icaricia icarioides fenderi)",E,"43,700","639,097,440",98.69
351,"Snail, Bliss Rapids (Taylorconcha serpenticola)",T,"43,500","639,140,940",98.7
351,"Butterfly, Mitchell's satyr (Neonympha mitchellii mitchellii)",E,"43,500","639,184,440",98.7
351,Kaulu (Pteralyxia kauaiensis),E,"43,500","639,227,940",98.71
354,"Mouse, Choctawhatchee beach (Peromyscus polionotus allophrys)",E,"43,105","639,271,045",98.72
355,"Skipper, Laguna Mountains (Pyrgus ruralis lagunae)",E,"43,000","639,314,045",98.72
355,"Meshweaver, Robber Baron Cave (Cicurina baronia)",E,"43,000","639,357,045",98.73
355,"Crayfish, cave (Cambarus zophonastes)",E,"43,000","639,400,045",98.74
355,"Fairy shrimp, longhorn (Branchinecta longiantenna)",E,"43,000","639,443,045",98.74
359,"Clover, running buffalo (Trifolium stoloniferum)",E,"42,950","639,485,995",98.75
360,"Snake, San Francisco garter (Thamnophis sirtalis tetrataenia)",E,"42,900","639,528,895",98.76
361,"Snake, Concho water (Nerodia paucimaculata)",T,"42,700","639,571,595",98.76
362,"Snail, Snake River physa (Physa natricina)",E,"42,600","639,614,195",98.77
363,"Cactus, Sneed pincushion (Coryphantha sneedii var. sneedii)",E,"42,500","639,656,695",98.78
364,"Three-ridge, fat (mussel) (Amblema neislerii)",E,"42,100","639,698,795",98.78
365,Silene lanceolata (=Sci name),E,"42,038","639,740,833",98.79
366,"Hawk, Hawaiian (='lo) (Buteo solitarius)",E,"42,024","639,782,857",98.8
367,"Fern, Aleutian shield (Polystichum aleuticum)",E,"42,000","639,824,857",98.8
368,A`e (Zanthoxylum hawaiiense),E,"41,250","639,866,107",98.81
369,Spermolepis hawaiiensis (=Sci name),E,"41,200","639,907,307",98.82
370,Mehamehame (Flueggea neowawraea),E,"39,988","639,947,295",98.82
371,"Limpet, Banbury Springs (Lanx sp.)",E,"39,800","639,987,095",98.83
371,"Spider, spruce-fir moss (Microhexura montivaga)",E,"39,800","640,026,895",98.83
373,Fanshell (Cyprogenia stegaria),E,"39,700","640,066,595",98.84
374,"Dace, blackside (Phoxinus cumberlandensis)",T,"39,550","640,106,145",98.85
375,"Mucket, orangenacre (Lampsilis perovalis)",T,"39,300","640,145,445",98.85
376,"Tiger beetle, northeastern beach (Cicindela dorsalis dorsalis)",T,"38,950","640,184,395",98.86
377,"Darter, amber (Percina antesella)",E,"38,800","640,223,195",98.86
378,"Madtom, yellowfin (Noturus flavipinnis)",T,"38,650","640,261,845",98.87
379,"Beetle, Mount Hermon June (Polyphylla barbata)",E,"38,600","640,300,445",98.88
380,"Mouse, Anastasia Island beach (Peromyscus polionotus phasma)",E,"38,375","640,338,820",98.88
381,Mahoe (Alectryon macrococcus),E,"38,288","640,377,108",98.89
382,"Skullcap, large-flowered (Scutellaria montana)",E,"38,100","640,415,208",98.89
383,"Puma (=cougar), eastern (Puma (=Felis) concolor couguar)",E,"37,600","640,452,808",98.9
383,"Moccasinshell, Alabama (Medionidus acutissimus)",T,"37,600","640,490,408",98.91
383,Kulu`i (Nototrichium humile),E,"37,600","640,528,008",98.91
386,"Lichen, rock gnome (Gymnoderma lineare)",E,"37,300","640,565,308",98.92
387,"Rock-cress, shale barren (Arabis serotina)",E,"36,800","640,602,108",98.92
388,"Milk-vetch, Ventura Marsh (Astragalus pycnostachyus var. lanosissimus)",E,"36,600","640,638,708",98.93
389,"Cactus, Wright fishhook (Sclerocactus wrightiae)",E,"36,400","640,675,108",98.93
389,"Niterwort, Amargosa (Nitrophila mohavensis)",E,"36,400","640,711,508",98.94
391,"Dawn-flower, Texas prairie (Hymenoxys texana)",E,"36,000","640,747,508",98.94
392,Jaguar (Panthera onca),E,"35,945","640,783,453",98.95
393,"Spiraea, Virginia (Spiraea virginiana)",T,"35,700","640,819,153",98.96
394,"Cactus, Uinta Basin hookless (Sclerocactus glaucus)",T,"35,500","640,854,653",98.96
395,Bonamia menziesii (=Sci name),E,"35,150","640,889,803",98.97
396,"Cavefish, Alabama (Speoplatyrhinus poulsoni)",E,"35,000","640,924,803",98.97
396,"Gerardia, sandplain (Agalinis acuta)",E,"35,000","640,959,803",98.98
398,"Piperia, Yadon's (Piperia yadonii)",E,"34,900","640,994,703",98.98
399,"Harvestman, Bone Cave (Texella reyesi)",E,"34,350","641,029,053",98.99
400,"Ma`o hau hele, (=native yellow hibiscus) (Hibiscus brackenridgei)",E,"34,250","641,063,303",98.99
401,"Buckwheat, scrub (Eriogonum longifolium var. gnaphalifolium)",T,"34,100","641,097,403",99.0
402,"Honeycreeper, crested (Palmeria dolei)",E,"33,731","641,131,134",99.0
403,"Kidneyshell, triangular (Ptychobranchus greeni)",E,"33,600","641,164,734",99.01
404,"Harvestman, Bee Creek Cave (Texella reddelli)",E,"33,350","641,198,084",99.01
405,"Madtom, pygmy (Noturus stanauli)",E,"33,100","641,231,184",99.02
405,"Bonamia, Florida (Bonamia grandiflora)",T,"33,100","641,264,284",99.02
405,"Beargrass, Britton's (Nolina brittoniana)",E,"33,100","641,297,384",99.03
405,"Lupine, scrub (Lupinus aridorum)",E,"33,100","641,330,484",99.03
409,"Clubshell, southern (Pleurobema decisum)",E,"33,000","641,363,484",99.04
410,"Madtom, smoky (Noturus baileyi)",E,"32,850","641,396,334",99.05
411,"Butterfly plant, Colorado (Gaura neomexicana var. coloradensis)",T,"32,835","641,429,169",99.05
412,Nohoanu (Geranium multiflorum),E,"32,781","641,461,950",99.06
413,"Spineflower, Ben Lomond (Chorizanthe pungens var. hartwegiana)",E,"32,700","641,494,650",99.06
414,`Aiea (Nothocestrum breviflorum),E,"32,554","641,527,204",99.07
415,"Cactus, Tobusch fishhook (Ancistrocactus tobuschii)",E,"32,360","641,559,564",99.07
416,"Caracara, Audubon's crested (Polyborus plancus audubonii)",T,"32,000","641,591,564",99.08
417,Kuahiwi laukahi (Plantago princeps),E,"31,838","641,623,402",99.08
418,"Cactus, Brady pincushion (Pediocactus bradyi)",E,"31,800","641,655,202",99.09
418,"Prairie-clover, leafy (Dalea foliosa)",E,"31,800","641,687,002",99.09
420,"Aster, Florida golden (Chrysopsis floridana)",E,"31,700","641,718,702",99.09
421,"Logperch, Conasauga (Percina jenkinsi)",E,"31,600","641,750,302",99.1
422,"Joint-vetch, sensitive (Aeschynomene virginica)",T,"31,400","641,781,702",99.1
423,"Buckwheat, steamboat (Eriogonum ovalifolium var. williamsiae)",E,"31,200","641,812,902",99.11
424,"Spinedace, Big Spring (Lepidomeda mollispinis pratensis)",T,"31,100","641,844,002",99.11
425,"Darter, snail (Percina tanasi)",T,"31,000","641,875,002",99.12
425,"Darter, boulder (Etheostoma wapiti)",E,"31,000","641,906,002",99.12
425,"Tarplant, Santa Cruz (Holocarpha macradenia)",T,"31,000","641,937,002",99.13
428,"Checkermallow, Wenatchee Mountains (Sidalcea oregana var. calva)",E,"30,900","641,967,902",99.13
429,"Lupine, Kincaid's (Lupinus sulphureus (=oreganus) ssp. kincaidii (=var.kincaidii))",T,"30,500","641,998,402",99.14
430,"Mouse, southeastern beach (Peromyscus polionotus niveiventris)",T,"30,300","642,028,702",99.14
431,"Butterfly, bay checkerspot (Euphydryas editha bayensis)",T,"30,200","642,058,902",99.15
432,"Butterwort, Godfrey's (Pinguicula ionantha)",T,"30,100","642,089,002",99.15
433,`Ohe`ohe (Tetraplasandra gymnocarpa),E,"29,638","642,118,640",99.16
434,"Pigtoe, heavy (Pleurobema taitianum)",E,"29,300","642,147,940",99.16
435,Alani (Melicope ovalis),E,"29,250","642,177,190",99.17
435,Schiedea haleakalensis (=Sci name),E,"29,250","642,206,440",99.17
437,"Button-celery, San Diego (Eryngium aristulatum var. parishii)",E,"29,127","642,235,567",99.17
438,Catspaw (=purple cat's paw pearlymussel) (Epioblasma obliquata obliquata),E,"29,100","642,264,667",99.18
439,"Paintbrush, golden (Castilleja levisecta)",T,"29,090","642,293,757",99.18
440,"Navarretia, spreading (Navarretia fossalis)",T,"29,027","642,322,784",99.19
441,"Boa, Virgin Islands tree (Epicrates monensis granti)",E,"29,000","642,351,784",99.19
441,"Sucker, Warner (Catostomus warnerensis)",T,"29,000","642,380,784",99.2
441,"Crayfish, cave (Cambarus aculabrum)",E,"29,000","642,409,784",99.2
444,"Penstemon, blowout (Penstemon haydenii)",E,"28,687","642,438,471",99.21
445,"Mesa-mint, San Diego (Pogogyne abramsii)",E,"28,616","642,467,087",99.21
446,Diellia falcata (=Sci name),E,"28,600","642,495,687",99.21
447,"Layia, beach (Layia carnosa)",E,"28,500","642,524,187",99.22
448,"Rock-cress, McDonald's (Arabis mcdonaldiana)",E,"28,000","642,552,187",99.22
448,Pamakani (Viola chamissoniana ssp. chamissoniana),E,"28,000","642,580,187",99.23
448,"Oxytheca, cushenbury (Oxytheca parishii var. goodmaniana)",E,"28,000","642,608,187",99.23
451,"Dropwort, Canby's (Oxypolis canbyi)",E,"27,900","642,636,087",99.24
452,"Bean, Cumberland (pearlymussel) (Villosa trabalis)",E,"27,841","642,663,928",99.24
453,"Pink, swamp (Helonias bullata)",T,"27,150","642,691,078",99.25
454,"Whale, sperm (Physeter catodon (=macrocephalus))",E,"27,000","642,718,078",99.25
454,"Pigtoe, dark (Pleurobema furvum)",E,"27,000","642,745,078",99.25
454,"Bladderpod, Spring Creek (Lesquerella perforata)",E,"27,000","642,772,078",99.26
457,"Daisy, Willamette (Erigeron decumbens var. decumbens)",E,"26,750","642,798,828",99.26
458,Popolo ku mai (Solanum incompletum),E,"26,650","642,825,478",99.27
459,"Mussel, oyster (Epioblasma capsaeformis)",E,"26,566","642,852,044",99.27
460,"Birds-in-a-nest, white (Macbridea alba)",T,"26,100","642,878,144",99.27
461,"Riffleshell, tan (Epioblasma florentina walkeri (=E. walkeri))",E,"26,066","642,904,210",99.28
462,Wireweed (Polygonella basiramia),E,"26,000","642,930,210",99.28
462,"Pennyroyal, Todsen's (Hedeoma todsenii)",E,"26,000","642,956,210",99.29
464,Kamanomano (Cenchrus agrimonioides),E,"25,438","642,981,648",99.29
465,`Akoko (Euphorbia haeleeleana),E,"25,338","643,006,986",99.29
466,"Trout, Little Kern golden (Oncorhynchus aguabonita whitei)",T,"25,200","643,032,186",99.3
467,"Pearlymussel, littlewing (Pegias fabula)",E,"25,166","643,057,352",99.3
468,"Whale, bowhead (Balaena mysticetus)",E,"25,000","643,082,352",99.31
468,"Bladderpod, white (Lesquerella pallida)",E,"25,000","643,107,352",99.31
470,"Monarch, Tinian (old world flycatcher) (Monarcha takatsukasae)",T,"24,600","643,131,952",99.31
470,"Monkeyface, Cumberland (pearlymussel) (Quadrula intermedia)",E,"24,600","643,156,552",99.32
470,"Pearlymussel, dromedary (Dromus dromas)",E,"24,600","643,181,152",99.32
473,Oha (Delissea subcordata),E,"24,538","643,205,690",99.32
474,Na`ena`e (Dubautia herbstobatae),E,"24,176","643,229,866",99.33
475,Haha (Cyanea superba),E,"24,138","643,254,004",99.33
476,"Whale, finback (Balaenoptera physalus)",E,"24,084","643,278,088",99.34
477,"Lily, Western (Lilium occidentale)",E,"24,070","643,302,158",99.34
478,`Akoko (Chamaesyce celastroides var. kaenana),E,"24,038","643,326,196",99.34
479,"Rattlesnake, New Mexican ridge-nosed (Crotalus willardi obscurus)",T,"24,000","643,350,196",99.35
479,"Phlox, Yreka (Phlox hirsuta)",E,"24,000","643,374,196",99.35
481,Alsinidendron obovatum (=Sci name),E,"23,838","643,398,034",99.35
482,"Ladies'-tresses, Navasota (Spiranthes parksii)",E,"23,800","643,421,834",99.36
483,Ha`iwale (Cyrtandra dentata),E,"23,638","643,445,472",99.36
484,"Combshell, Cumberlandian (Epioblasma brevidens)",E,"23,566","643,469,038",99.37
485,"Spinymussel, Tar River (Elliptio steinstansana)",E,"23,500","643,492,538",99.37
486,Schiedea hookeri (=Sci name),E,"23,338","643,515,876",99.37
486,Hedyotis degeneri (=Sci name),E,"23,338","643,539,214",99.38
486,Tetramolopium filiforme (=Sci name),E,"23,338","643,562,552",99.38
486,Nehe (Lipochaeta tenuifolia),E,"23,338","643,585,890",99.38
486,Lo`ulu (Pritchardia kaalae),E,"23,338","643,609,228",99.39
486,Sanicula mariversa (=Sci name),E,"23,338","643,632,566",99.39
486,Pauoa (Ctenitis squamigera),E,"23,338","643,655,904",99.39
493,"Turtle, ringed map (Graptemys oculifera)",T,"23,300","643,679,204",99.4
493,"Shrimp, Kentucky cave (Palaemonias ganteri)",E,"23,300","643,702,504",99.4
495,"Milkweed, Mead's (Asclepias meadii)",T,"23,250","643,725,754",99.4
496,"Thistle, Chorro Creek bog (Cirsium fontinale var. obispoense)",E,"23,200","643,748,954",99.41
496,Lobelia niihauensis (=Sci name),E,"23,200","643,772,154",99.41
498,"Daisy, Parish's (Erigeron parishii)",T,"23,000","643,795,154",99.42
498,"Jewelflower, California (Caulanthus californicus)",E,"23,000","643,818,154",99.42
500,"Butterfly, Saint Francis' satyr (Neonympha mitchellii francisci)",E,"22,900","643,841,054",99.42
500,Schiedea nuttallii (=Sci name),E,"22,900","643,863,954",99.43
502,"Dogweed, ashy (Thymophylla tephroleuca)",E,"22,800","643,886,754",99.43
503,Hedyotis parvula (=Sci name),E,"22,500","643,909,254",99.43
503,Kiponapona (Phyllostegia racemosa),E,"22,500","643,931,754",99.44
505,"Manzanita, Del Mar (Arctostaphylos glandulosa ssp. crassifolia)",E,"22,424","643,954,178",99.44
506,"Milkweed, Welsh's (Asclepias welshii)",T,"22,300","643,976,478",99.44
507,"Plum, scrub (Prunus geniculata)",E,"22,100","643,998,578",99.45
508,"Woodpecker, ivory-billed (Campephilus principalis)",E,"22,000","644,020,578",99.45
508,"Snail, tulotoma (Tulotoma magnifica)",E,"22,000","644,042,578",99.45
510,"Goldfields, Burke's (Lasthenia burkei)",E,"21,800","644,064,378",99.46
511,"Snake, copperbelly water (Nerodia erythrogaster neglecta)",T,"21,600","644,085,978",99.46
511,"Bladderpod, Zapata (Lesquerella thamnophila)",E,"21,600","644,107,578",99.46
513,"Whipsnake (=striped racer), Alameda (Masticophis lateralis euryxanthus)",T,"21,500","644,129,078",99.47
514,Hala pepe (Pleomele hawaiiensis),E,"21,200","644,150,278",99.47
515,"Goldenrod, Short's (Solidago shortii)",E,"21,100","644,171,378",99.47
515,"Cactus, Winkler (Pediocactus winkleri)",T,"21,100","644,192,478",99.48
517,"Amphipod, Hay's Spring (Stygobromus hayi)",E,"21,000","644,213,478",99.48
517,"Buckwheat, cushenbury (Eriogonum ovalifolium var. vineum)",E,"21,000","644,234,478",99.48
517,"Meadowfoam, Sebastopol (Limnanthes vinculans)",E,"21,000","644,255,478",99.49
517,Asplenium fragile var. insulare (=Sci name),E,"21,000","644,276,478",99.49
521,"Amphipod, Peck's cave (Stygobromus (=Stygonectes) pecki)",E,"20,700","644,297,178",99.49
522,"Pearlymussel, birdwing (Conradilla caelata)",E,"20,400","644,317,578",99.5
523,"Darter, goldline (Percina aurolineata)",T,"20,300","644,337,878",99.5
524,Honohono (Haplostachys haplostachya),E,"20,200","644,358,078",99.5
525,Akiapola`au (honeycreeper) (Hemignathus munroi),E,"20,131","644,378,209",99.51
526,"Sunshine, Sonoma (Blennosperma bakeri)",E,"20,100","644,398,309",99.51
527,"Hawk, Puerto Rican broad-winged (Buteo platypterus brunnescens)",E,"20,000","644,418,309",99.51
527,"Meshweaver, Government Canyon Bat Cave (Cicurina vespera)",E,"20,000","644,438,309",99.51
527,"Milk-vetch, Cushenbury (Astragalus albens)",E,"20,000","644,458,309",99.52
530,Po`e (Portulaca sclerocarpa),E,"19,600","644,477,909",99.52
531,"Orcutt grass, California (Orcuttia californica)",E,"19,516","644,497,425",99.52
532,"Snail, Iowa Pleistocene (Discus macclintocki)",E,"19,500","644,516,925",99.53
533,"Coneflower, Tennessee purple (Echinacea tennesseensis)",E,"19,300","644,536,225",99.53
534,"Avens, spreading (Geum radiatum)",E,"19,100","644,555,325",99.53
535,Kio`ele (Hedyotis coriacea),E,"19,000","644,574,325",99.54
536,Neraudia ovata (=Sci name),E,"18,800","644,593,125",99.54
537,Tetramolopium arenarium (=Sci name),E,"18,700","644,611,825",99.54
538,"Pearlymussel, Curtis (Epioblasma florentina curtisii)",E,"18,500","644,630,325",99.54
539,"Creeper, Hawaii (Oreomystis mana)",E,"18,400","644,648,725",99.55
539,"Spinymussel, James (Pleurobema collina)",E,"18,400","644,667,125",99.55
541,"Moccasinshell, Coosa (Medionidus parvulus)",E,"18,300","644,685,425",99.55
541,Stenogyne angustifolia var. angustifolia (=Sci name),E,"18,300","644,703,725",99.56
541,Silene hawaiiensis (=Sci name),T,"18,300","644,722,025",99.56
544,"Spinedace, Little Colorado (Lepidomeda vittata)",T,"18,200","644,740,225",99.56
545,"Potato-bean, Price's (Apios priceana)",T,"18,100","644,758,325",99.56
545,"Beauty, Harper's (Harperocallis flava)",E,"18,100","644,776,425",99.57
545,"Milk-vetch, Shivwitz (Astragalus ampullarioides)",E,"18,100","644,794,525",99.57
548,"Jaguarundi, Gulf Coast (Herpailurus (=Felis) yagouaroundi cacomitli)",E,"17,950","644,812,475",99.57
549,"Akepa, Hawaii (honeycreeper) (Loxops coccineus coccineus)",E,"17,800","644,830,275",99.58
550,"Blossom, tubercled (pearlymussel) (Epioblasma torulosa torulosa)",E,"17,500","644,847,775",99.58
551,"Shiner, Cahaba (Notropis cahabae)",E,"17,300","644,865,075",99.58
552,"Butterfly, Uncompahgre fritillary (Boloria acrocnema)",E,"17,100","644,882,175",99.58
553,"Woodland-star, San Clemente Island (Lithophragma maximum)",E,"17,000","644,899,175",99.59
553,"Rockcress, Santa Cruz Island (Sibara filifolia)",E,"17,000","644,916,175",99.59
553,"Indian paintbrush, San Clemente Island (Castilleja grisea)",E,"17,000","644,933,175",99.59
553,"Larkspur, San Clemente Island (Delphinium variegatum ssp. kinkiense)",E,"17,000","644,950,175",99.59
553,"Broom, San Clemente Island (Lotus dendroideus ssp. traskiae)",E,"17,000","644,967,175",99.6
553,"Bush-mallow, San Clemente Island (Malacothamnus clementinus)",E,"17,000","644,984,175",99.6
553,"Pitcher-plant, Alabama canebrake (Sarracenia rubra alabamensis)",E,"17,000","645,001,175",99.6
560,"Pigtoe, finerayed (Fusconaia cuneolus)",E,"16,800","645,017,975",99.6
561,Ring pink (mussel) (Obovaria retusa),E,"16,600","645,034,575",99.61
561,"Pearlymussel, cracking (Hemistena lata)",E,"16,600","645,051,175",99.61
563,"Pigtoe, shiny (Fusconaia cor)",E,"16,400","645,067,575",99.61
564,"Lilliput, pale (pearlymussel) (Toxolasma cylindrellus)",E,"16,300","645,083,875",99.61
564,"Cactus, San Rafael (Pediocactus despainii)",E,"16,300","645,100,175",99.62
566,"Mountain beaver, Point Arena (Aplodontia rufa nigra)",E,"16,000","645,116,175",99.62
566,"Toad, Puerto Rican crested (Peltophryne lemur)",T,"16,000","645,132,175",99.62
566,"Acornshell, southern (Epioblasma othcaloogensis)",E,"16,000","645,148,175",99.62
569,Ma`oli`oli (Schiedea kealiae),E,"15,700","645,163,875",99.63
570,"Prickly-apple, fragrant (Cereus eriophorus var. fragrans)",E,"15,600","645,179,475",99.63
570,"Ground-plum, Guthrie's (=Pyne's) (Astragalus bibullatus)",E,"15,600","645,195,075",99.63
572,"Pocketbook, Ouachita rock (Arkansia wheeleri)",E,"15,400","645,210,475",99.63
572,Nioi (Eugenia koolauensis),E,"15,400","645,225,875",99.64
574,"Pigtoe, rough (Pleurobema plenum)",E,"15,300","645,241,175",99.64
574,"Pigtoe, flat (Pleurobema marshalli)",E,"15,300","645,256,475",99.64
576,"Darter, slackwater (Etheostoma boschungi)",T,"15,200","645,271,675",99.64
577,Wawae`iole (Lycopodium (=Phlegmariurus) nutans),E,"15,138","645,286,813",99.65
578,"Dace, desert (Eremichthys acros)",T,"15,100","645,301,913",99.65
579,Hesperomannia arborescens (=Sci name),E,"15,038","645,316,951",99.65
580,"Gambusia, Clear Creek (Gambusia heterochir)",E,"15,000","645,331,951",99.65
580,"Milk-vetch, Fish Slough (Astragalus lentiginosus var. piscinensis)",T,"15,000","645,346,951",99.66
580,"Leather flower, Morefield's (Clematis morefieldii)",E,"15,000","645,361,951",99.66
583,"Lily, Minnesota dwarf trout (Erythronium propullans)",E,"14,800","645,376,751",99.66
583,Wawae`iole (Huperzia mannii),E,"14,800","645,391,551",99.66
585,"Pupfish, Owens (Cyprinodon radiosus)",E,"14,700","645,406,251",99.66
585,"Beetle, Comal Springs riffle (Heterelmis comalensis)",E,"14,700","645,420,951",99.67
585,"Beetle, Comal Springs dryopid (Stygoparnus comalensis)",E,"14,700","645,435,651",99.67
588,Phyllostegia hirsuta (=Sci name),E,"14,638","645,450,289",99.67
588,Haha (Cyanea acuminata),E,"14,638","645,464,927",99.67
588,Haha (Cyanea koolauensis),E,"14,638","645,479,565",99.68
588,Pteris lidgatei (=Sci name),E,"14,638","645,494,203",99.68
592,"Goose, Aleutian Canada (Branta canadensis leucopareia)",T,"14,500","645,508,703",99.68
593,Nanu (Gardenia mannii),E,"14,400","645,523,103",99.68
594,"Dace, Kendall Warm Springs (Rhinichthys osculus thermalis)",E,"14,350","645,537,453",99.68
595,"Combshell, upland (Epioblasma metastriata)",E,"14,300","645,551,753",99.69
595,`Oha wai (Clermontia oblongifolia ssp. mauiensis),E,"14,300","645,566,053",99.69
597,"Lessingia, San Francisco (Lessingia germanorum (=L.g. var. germanorum))",E,"14,200","645,580,253",99.69
598,"Turtle, yellow-blotched map (Graptemys flavimaculata)",T,"14,000","645,594,253",99.69
598,"Bladderpod, San Bernardino Mountains (Lesquerella kingii ssp. bernardina)",E,"14,000","645,608,253",99.7
600,"Chub, slender (Erimystax cahni)",T,"13,800","645,622,053",99.7
600,Sanicula purpurea (=Sci name),E,"13,800","645,635,853",99.7
602,"Onion, Munz's (Allium munzii)",E,"13,600","645,649,453",99.7
603,"Bluet, Roan Mountain (Hedyotis purpurea var. montana)",E,"13,500","645,662,953",99.7
604,"Shearwater, Newell's Townsend's (Puffinus auricularis newelli)",T,"13,300","645,676,253",99.71
605,"Monkeyface, Appalachian (pearlymussel) (Quadrula sparsa)",E,"13,100","645,689,353",99.71
606,"Tiger beetle, Puritan (Cicindela puritana)",T,"13,000","645,702,353",99.71
606,"Aster, Ruth's golden (Pityopsis ruthii)",E,"13,000","645,715,353",99.71
606,"Heather, mountain golden (Hudsonia montana)",T,"13,000","645,728,353",99.71
609,"Buckwheat, Ione (incl. Irish Hill) (Eriogonum apricum (incl. var. prostratum))",E,"12,800","645,741,153",99.72
610,"Catspaw, white (pearlymussel) (Epioblasma obliquata perobliqua)",E,"12,700","645,753,853",99.72
611,"Darter, bayou (Etheostoma rubrum)",T,"12,400","645,766,253",99.72
