Rank,Species (50 CFR Part 17),Status,"Species Total($)","CumulativeTotal ($)","CumulativePercent"
298,"Butterfly, Uncompahgre fritillary (Boloria acrocnema)",E,"72,285","706,379,723",98.21
299,"Combshell, Cumberlandian (Epioblasma brevidens)",E,"72,100","706,451,823",98.23
300,"Ground beetle, [unnamed] (Rhadine infernalis)",E,"71,140","706,522,963",98.23
300,"Ground beetle, [unnamed] (Rhadine exilis)",E,"71,140","706,594,103",98.24
302,"Pocketbook, Ouachita rock (Arkansia wheeleri)",E,"71,100","706,665,203",98.25
303,"Meshweaver, Madla's Cave (Cicurina madla)",E,"70,140","706,735,343",98.26
304,"Lupine, clover (Lupinus tidestromii)",E,"70,000","706,805,343",98.27
305,"Penstemon, blowout (Penstemon haydenii)",E,"69,938","706,875,281",98.28
306,"Madtom, Neosho (Noturus placidus)",T,"69,800","706,945,081",98.29
307,"Warbler, nightingale reed (old world warbler) (Acrocephalusluscinia)",E,"69,100","707,014,181",98.3
308,"Lizard, blunt-nosed leopard (Gambelia silus)",E,"68,950","707,083,131",98.31
309,"Thrush, small Kauai (=puaiohi) (Myadestes palmeri)",E,"68,400","707,151,531",98.32
310,"Fairy shrimp, San Diego (Branchinecta sandiegonensis)",E,"68,298","707,219,829",98.33
311,"Coneflower, smooth (Echinacea laevigata)",E,"67,700","707,287,529",98.34
312,"Catchfly, Spalding's (Silene spaldingii)",T,"67,300","707,354,829",98.35
313,"Fly, Delhi Sands flower-loving (Rhaphiomidas terminatusabdominalis)",E,"67,000","707,421,829",98.36
314,"Darter, Etowah (Etheostoma etowahae)",E,"66,500","707,488,329",98.37
315,"Trout, Little Kern golden (Oncorhynchus aguabonita whitei)",T,"65,200","707,553,529",98.38
315,"Orchid, eastern prairie fringed (Platanthera leucophaea)",T,"65,200","707,618,729",98.39
317,"Kangaroo rat, giant (Dipodomys ingens)",E,"64,400","707,683,129",98.4
318,"Chub, Pahranagat roundtail (Gila robusta jordani)",E,"64,190","707,747,319",98.41
319,"Jacquemontia, beach (Jacquemontia reclinata)",E,"64,100","707,811,419",98.41
320,Akiapola`au (honeycreeper) (Hemignathus munroi),E,"63,334","707,874,753",98.42
321,"Snail, Newcomb's (Erinna newcombi)",T,"62,900","707,937,653",98.43
322,Popolo ku mai (Solanum incompletum),E,"62,762","708,000,415",98.44
323,"Kangaroo rat, Stephens' (Dipodomys stephensi (incl. D. cascus))",E,"62,100","708,062,515",98.45
324,"Darter, Cherokee (Etheostoma scotti)",T,"61,500","708,124,015",98.46
325,"Wild-rice, Texas (Zizania texana)",E,"60,800","708,184,815",98.47
326,"Howellia, water (Howellia aquatilis)",T,"60,053","708,244,868",98.47
327,"Sheep, bighorn (Ovis canadensis californiana)",E,"60,000","708,304,868",98.48
328,"Salamander, California tiger (Ambystoma californiense)","E,EmE","59,700","708,364,568",98.49
329,"Fairy shrimp, Riverside (Streptocephalus woottoni)",E,"58,898","708,423,466",98.5
330,"Butterfly, Fender's blue (Icaricia icarioides fenderi)",E,"58,800","708,482,266",98.51
331,"Parrotbill, Maui (honeycreeper) (Pseudonestor xanthophrys)",E,"58,600","708,540,866",98.52
331,"Checker-mallow, Keck's (Sidalcea keckii)",E,"58,600","708,599,466",98.52
333,"Dace, Ash Meadows speckled (Rhinichthys osculus nevadensis)",E,"58,390","708,657,856",98.53
334,"Milkweed, Mead's (Asclepias meadii)",T,"58,023","708,715,879",98.54
335,Jaguar (Panthera onca),E,"58,002","708,773,881",98.55
336,"Springsnail, Bruneau Hot (Pyrgulopsis bruneauensis)",E,"57,000","708,830,881",98.56
337,"Skipper, Laguna Mountains (Pyrgus ruralis lagunae)",E,"56,000","708,886,881",98.56
338,"Buckwheat, steamboat (Eriogonum ovalifolium var. williamsiae)",E,"55,700","708,942,581",98.57
339,"Lily, Western (Lilium occidentale)",E,"54,900","708,997,481",98.58
340,"Snail, Morro shoulderband (=Banded dune) (Helminthoglyptawalkeriana)",E,"54,300","709,051,781",98.59
341,"Ambrosia, San Diego (Ambrosia pumila)",E,"54,131","709,105,912",98.59
342,"Squirrel, Virginia northern flying (Glaucomys sabrinus fuscus)",E,"53,881","709,159,793",98.6
343,"Checkermallow, Wenatchee Mountains (Sidalcea oregana var. calva)",E,"53,500","709,213,293",98.61
344,"Springsnail, Idaho (Fontelicella idahoensis)",E,"52,700","709,265,993",98.62
345,Ko`oloa`ula (Abutilon menziesii),E,"52,630","709,318,623",98.62
346,"Darter, amber (Percina antesella)",E,"52,500","709,371,123",98.63
347,Neraudia angulata (=Sci name),E,"52,040","709,423,163",98.64
348,"Dawn-flower, Texas prairie (Hymenoxys texana)",E,"52,000","709,475,163",98.65
349,Ocelot (Leopardus (=Felis) pardalis),E,"50,900","709,526,063",98.65
349,"Gerardia, sandplain (Agalinis acuta)",E,"50,900","709,576,963",98.66
351,"Salamander, Texas blind (Typhlomolge rathbuni)",E,"50,850","709,627,813",98.67
352,"Snake, Concho water (Nerodia paucimaculata)",T,"50,750","709,678,563",98.67
353,"Shearwater, Newell's Townsend's (Puffinus auricularis newelli)",T,"50,700","709,729,263",98.68
354,"Butterfly, Saint Francis' satyr (Neonympha mitchellii francisci)",E,"50,400","709,779,663",98.69
355,"Sucker, Warner (Catostomus warnerensis)",T,"50,100","709,829,763",98.69
356,"Sumac, Michaux's (Rhus michauxii)",E,"49,900","709,879,663",98.7
357,"Button-celery, San Diego (Eryngium aristulatum var. parishii)",E,"49,410","709,929,073",98.71
358,"Navarretia, spreading (Navarretia fossalis)",T,"49,350","709,978,423",98.72
359,"Aster, decurrent false (Boltonia decurrens)",T,"48,830","710,027,253",98.72
360,"Lupine, Kincaid's (Lupinus sulphureus (=oreganus) ssp. kincaidii(=var. kincaidii))",T,"48,800","710,076,053",98.73
361,"Salamander, Red Hills (Phaeognathus hubrichti)",T,"48,000","710,124,053",98.74
361,"Pupfish, Comanche Springs (Cyprinodon elegans)",E,"48,000","710,172,053",98.74
361,"Chub, Owens tui (Gila bicolor snyderi)",E,"48,000","710,220,053",98.75
364,Mehamehame (Flueggea neowawraea),E,"47,764","710,267,817",98.76
365,"Snake, Lake Erie water (Nerodia sipedon insularum)",T,"47,500","710,315,317",98.76
366,"Heelsplitter, Alabama (=inflated) (Potamilus inflatus)",T,"47,400","710,362,717",98.77
367,"Bat, Virginia big-eared (Corynorhinus (=Plecotus) townsendiivirginianus)",E,"47,300","710,410,017",98.78
368,"Snail, Bliss Rapids (Taylorconcha serpenticola)",T,"47,000","710,457,017",98.78
369,"Kangaroo rat, Fresno (Dipodomys nitratoides exilis)",E,"46,900","710,503,917",98.79
370,Kauila (Colubrina oppositifolia),E,"46,700","710,550,617",98.79
371,"Phlox, Texas trailing (Phlox nivalis ssp. texensis)",E,"46,600","710,597,217",98.8
372,"Snail, Snake River physa (Physa natricina)",E,"46,100","710,643,317",98.81
373,`Aiea (Nothocestrum breviflorum),E,"45,700","710,689,017",98.81
374,"Rattlesnake, New Mexican ridge-nosed (Crotalus willardi obscurus)",T,"45,350","710,734,367",98.82
374,"Madtom, yellowfin (Noturus flavipinnis)",T,"45,350","710,779,717",98.83
376,"Moth, Kern primrose sphinx (Euproserpinus euterpe)",T,"45,300","710,825,017",98.83
377,"Gambusia, Pecos (Gambusia nobilis)",E,"45,200","710,870,217",98.84
378,"Bladderpod, white (Lesquerella pallida)",E,"45,000","710,915,217",98.85
379,"Darter, duskytail (Etheostoma percnurum)",E,"44,850","710,960,067",98.85
380,"Honeycreeper, crested (Palmeria dolei)",E,"44,800","711,004,867",98.86
381,"Pupfish, Devils Hole (Cyprinodon diabolis)",E,"44,719","711,049,586",98.86
382,"Crayfish, Shasta (Pacifastacus fortis)",E,"44,500","711,094,086",98.87
382,Koki`o (Kokia drynarioides),E,"44,500","711,138,586",98.88
382,"Penny-cress, Kneeland Prairie (Thlaspi californicum)",E,"44,500","711,183,086",98.88
382,Hala pepe (Pleomele hawaiiensis),E,"44,500","711,227,586",98.89
386,Spermolepis hawaiiensis (=Sci name),E,"44,384","711,271,970",98.9
387,"Riffleshell, tan (Epioblasma florentina walkeri (=E. walkeri))",E,"44,325","711,316,295",98.9
388,"Sucker, Modoc (Catostomus microps)",E,"44,300","711,360,595",98.91
389,"Tiger beetle, northeastern beach (Cicindela dorsalis dorsalis)",T,"44,234","711,404,829",98.91
390,Silene lanceolata (=Sci name),E,"43,784","711,448,613",98.92
391,"Daisy, Maguire (Erigeron maguirei)",T,"43,783","711,492,396",98.93
392,Mahoe (Alectryon macrococcus),E,"43,764","711,536,160",98.93
393,"Stickleback, unarmored threespine (Gasterosteus aculeatuswilliamsoni)",E,"43,300","711,579,460",98.94
394,"Cactus, Uinta Basin hookless (Sclerocactus glaucus)",T,"43,200","711,622,660",98.94
395,"Clover, running buffalo (Trifolium stoloniferum)",E,"43,150","711,665,810",98.95
396,"Pigtoe, southern (Pleurobema georgianum)",E,"42,534","711,708,344",98.96
397,"Silversword, Mauna Loa (=Ka'u) (Argyroxiphium kauense)",E,"42,500","711,750,844",98.96
398,"Madtom, smoky (Noturus baileyi)",E,"42,150","711,792,994",98.97
399,"Elktoe, Cumberland (Alasmidonta atropurpurea)",E,"41,600","711,834,594",98.97
400,"Darter, bluemask (=jewel) (Etheostoma /)",E,"41,500","711,876,094",98.98
400,"Butterfly, Schaus swallowtail (Heraclides aristodemus ponceanus)",E,"41,500","711,917,594",98.98
400,"Cactus, Wright fishhook (Sclerocactus wrightiae)",E,"41,500","711,959,094",98.99
403,"Ma`o hau hele, (=native yellow hibiscus) (Hibiscus brackenridgei)",E,"41,180","712,000,274",99.0
404,"Limpet, Banbury Springs (Lanx sp.)",E,"41,100","712,041,374",99.0
405,"Butterfly, lotis blue (Lycaeides argyrognomon lotis)",E,"41,000","712,082,374",99.01
405,"Cactus, Chisos Mountain hedgehog (Echinocereus chisoensis var.chisoensis)",T,"41,000","712,123,374",99.01
407,"Shrew, Buena Vista Lake ornate (Sorex ornatus relictus)",E,"40,700","712,164,074",99.02
407,"Beetle, Mount Hermon June (Polyphylla barbata)",E,"40,700","712,204,774",99.02
409,"Beaked-rush, Knieskern's (Rhynchospora knieskernii)",T,"40,000","712,244,774",99.03
410,"Darter, fountain (Etheostoma fonticola)",E,"39,850","712,284,624",99.04
411,"Akepa, Hawaii (honeycreeper) (Loxops coccineus coccineus)",E,"39,534","712,324,158",99.04
412,"Spineflower, Robust (incl. Scotts Valley) (Chorizanthe robusta (incl.vars. robusta and hartwegii))",E,"39,300","712,363,458",99.05
413,"Pigeon, Puerto Rican plain (Columba inornata wetmorei)",E,"39,200","712,402,658",99.05
413,"Spineflower, Ben Lomond (Chorizanthe pungens var. hartwegiana)",E,"39,200","712,441,858",99.06
415,Bonamia menziesii (=Sci name),E,"38,620","712,480,478",99.06
416,Kuahiwi laukahi (Plantago princeps),E,"38,484","712,518,962",99.07
417,"Squirrel, Carolina northern flying (Glaucomys sabrinus coloratus)",E,"38,200","712,557,162",99.07
418,"Logperch, Conasauga (Percina jenkinsi)",E,"38,165","712,595,327",99.08
419,`Anaunau (Lepidium arbuscula),E,"38,140","712,633,467",99.08
420,"Plum, scrub (Prunus geniculata)",E,"38,100","712,671,567",99.09
421,"Sunflower, Schweinitz's (Helianthus schweinitzii)",E,"37,900","712,709,467",99.1
422,"Fairy shrimp, Conservancy (Branchinecta conservatio)",E,"37,600","712,747,067",99.1
423,"Shiner, Cape Fear (Notropis mekistocholas)",E,"37,500","712,784,567",99.11
424,"Fatmucket, Arkansas (Lampsilis powelli)",T,"37,200","712,821,767",99.11
424,"Ground-plum, Guthrie's (=Pyne's) (Astragalus bibullatus)",E,"37,200","712,858,967",99.12
426,"Darter, snail (Percina tanasi)",T,"36,800","712,895,767",99.12
426,"Ladies'-tresses, Navasota (Spiranthes parksii)",E,"36,800","712,932,567",99.13
428,"Fairy shrimp, longhorn (Branchinecta longiantenna)",E,"36,600","712,969,167",99.13
429,"Caracara, Audubon's crested (Polyborus plancus audubonii)",T,"36,000","713,005,167",99.14
429,Uhiuhi (Caesalpinia kavaiense),E,"36,000","713,041,167",99.14
431,"Pitcher-plant, green (Sarracenia oreophila)",E,"35,356","713,076,523",99.15
432,"Kangaroo rat, Tipton (Dipodomys nitratoides nitratoides)",E,"35,150","713,111,673",99.15
433,"Mouse, Key Largo cotton (Peromyscus gossypinus allapaticola)",E,"35,100","713,146,773",99.16
433,"Towhee, Inyo California (Pipilo crissalis eremophilus)",T,"35,100","713,181,873",99.16
433,"Birds-in-a-nest, white (Macbridea alba)",T,"35,100","713,216,973",99.17
436,"Dace, blackside (Phoxinus cumberlandensis)",T,"35,000","713,251,973",99.17
436,"Moccasinshell, Ochlockonee (Medionidus simpsonianus)",E,"35,000","713,286,973",99.18
438,"Goldfields, Contra Costa (Lasthenia conjugens)",E,"34,723","713,321,696",99.18
439,"Butterfly, Mitchell's satyr (Neonympha mitchellii mitchellii)",E,"34,600","713,356,296",99.19
440,"Three-ridge, fat (mussel) (Amblema neislerii)",E,"34,500","713,390,796",99.19
440,"Townsendia, Last Chance (Townsendia aprica)",T,"34,500","713,425,296",99.19
442,"Cactus, San Rafael (Pediocactus despainii)",E,"34,100","713,459,396",99.2
443,"Nightjar, Puerto Rican (Caprimulgus noctitherus)",E,"34,000","713,493,396",99.2
444,"Milk-vetch, Holmgren (Astragalus holmgreniorum)",E,"33,900","713,527,296",99.21
445,"Snake, copperbelly water (Nerodia erythrogaster neglecta)",T,"33,000","713,560,296",99.21
446,`Akoko (Chamaesyce celastroides var. kaenana),E,"32,984","713,593,280",99.22
447,"Rock-cress, McDonald's (Arabis mcdonaldiana)",E,"32,583","713,625,863",99.22
448,"Pearlshell, Louisiana (Margaritifera hembeli)",T,"32,500","713,658,363",99.23
449,"Butterfly plant, Colorado (Gaura neomexicana var. coloradensis)",T,"32,460","713,690,823",99.23
450,Kulu`i (Nototrichium humile),E,"32,340","713,723,163",99.24
451,"Monardella, willowy (Monardella linoides ssp. viminea)",E,"32,124","713,755,287",99.24
452,Palo de jazmin (Styrax portoricensis),E,"32,034","713,787,321",99.24
453,Pamakani (Viola chamissoniana ssp. chamissoniana),E,"31,940","713,819,261",99.25
454,"Tadpole shrimp, vernal pool (Lepidurus packardi)",E,"31,700","713,850,961",99.25
455,"Iguana, Mona ground (Cyclura stejnegeri)",T,"31,500","713,882,461",99.26
455,"Milk-vetch, Shivwitz (Astragalus ampullarioides)",E,"31,500","713,913,961",99.26
457,"Grasshopper, Zayante band-winged (Trimerotropis infantilis)",E,"31,200","713,945,161",99.27
458,"Whipsnake (=striped racer), Alameda (Masticophis lateraliseuryxanthus)",T,"31,100","713,976,261",99.27
459,"Spinymussel, Tar River (Elliptio steinstansana)",E,"31,000","714,007,261",99.28
460,"Salamander, Santa Cruz long-toed (Ambystoma macrodactylumcroceum)",E,"30,800","714,038,061",99.28
460,"Spider, Kauai cave wolf or pe'e pe'e maka 'ole (Adelocosa anops)",E,"30,800","714,068,861",99.28
460,"Amphipod, Kauai cave (Spelaeorchestia koloana)",E,"30,800","714,099,661",99.29
463,Diellia falcata (=Sci name),E,"30,500","714,130,161",99.29
464,"Hawk, Puerto Rican broad-winged (Buteo platypterus brunnescens)",E,"30,396","714,160,557",99.3
465,Schiedea hookeri (=Sci name),E,"30,324","714,190,881",99.3
466,"Turtle, Alabama red-belly (Pseudemys alabamensis)",E,"30,000","714,220,881",99.31
466,"Pupfish, Ash Meadows Amargosa (Cyprinodon nevadensismionectes)",E,"30,000","714,250,881",99.31
466,"Alopecurus, Sonoma (Alopecurus aequalis var. sonomensis)",E,"30,000","714,280,881",99.31
469,`Akoko (Euphorbia haeleeleana),E,"29,984","714,310,865",99.32
470,"Cactus, Bakersfield (Opuntia treleasei)",E,"29,900","714,340,765",99.32
471,Schiedea nuttallii (=Sci name),E,"29,584","714,370,349",99.33
472,"Tarplant, Santa Cruz (Holocarpha macradenia)",T,"29,500","714,399,849",99.33
473,Kamanomano (Cenchrus agrimonioides),E,"29,484","714,429,333",99.33
473,Oha (Delissea subcordata),E,"29,484","714,458,817",99.34
475,Haha (Cyanea superba),E,"29,384","714,488,201",99.34
476,"Thistle, Sacramento Mountains (Cirsium vinaceum)",T,"29,100","714,517,301",99.35
477,"Jaguarundi, Gulf Coast (Herpailurus (=Felis) yagouaroundicacomitli)",E,"28,900","714,546,201",99.35
478,Ko`oko`olau (Bidens micrantha ssp. kalealaha),E,"28,700","714,574,901",99.35
479,Ha`iwale (Cyrtandra dentata),E,"28,684","714,603,585",99.36
480,"Bat, Mexican long-nosed (Leptonycteris nivalis)",E,"28,594","714,632,179",99.36
481,Hedyotis degeneri (=Sci name),E,"28,584","714,660,763",99.37
482,"Cactus, Sneed pincushion (Coryphantha sneedii var. sneedii)",E,"28,500","714,689,263",99.37
483,Alsinidendron obovatum (=Sci name),E,"28,484","714,717,747",99.37
483,Nehe (Lipochaeta tenuifolia),E,"28,484","714,746,231",99.38
485,"Prairie-clover, leafy (Dalea foliosa)",E,"28,325","714,774,556",99.38
486,Tetramolopium filiforme (=Sci name),E,"28,184","714,802,740",99.39
487,Lobelia niihauensis (=Sci name),E,"28,140","714,830,880",99.39
487,"Paintbrush, golden (Castilleja levisecta)",T,"28,140","714,859,020",99.39
489,"Pink, swamp (Helonias bullata)",T,"28,102","714,887,122",99.4
490,"Pigtoe, heavy (Pleurobema taitianum)",E,"28,100","714,915,222",99.4
491,Na`ena`e (Dubautia herbstobatae),E,"28,084","714,943,306",99.41
491,Lo`ulu (Pritchardia kaalae),E,"28,084","714,971,390",99.41
491,Sanicula mariversa (=Sci name),E,"28,084","714,999,474",99.41
491,Pauoa (Ctenitis squamigera),E,"28,084","715,027,558",99.42
495,"Bean, purple (Villosa perpurpurea)",E,"27,825","715,055,383",99.42
496,"Pupfish, Leon Springs (Cyprinodon bovinus)",E,"27,600","715,082,983",99.43
497,"Bird's-beak, soft (Cordylanthus mollis ssp. mollis)",E,"27,500","715,110,483",99.43
498,"`Akoko, Ewa Plains (Chamaesyce skottsbergii var. kalaeloana)",E,"27,400","715,137,883",99.43
499,"Woodland-star, San Clemente Island (Lithophragma maximum)",E,"27,300","715,165,183",99.44
499,"Rockcress, Santa Cruz Island (Sibara filifolia)",E,"27,300","715,192,483",99.44
499,"Indian paintbrush, San Clemente Island (Castilleja grisea)",E,"27,300","715,219,783",99.44
499,"Larkspur, San Clemente Island (Delphinium variegatum ssp.kinkiense)",E,"27,300","715,247,083",99.45
499,"Broom, San Clemente Island (Lotus dendroideus ssp. traskiae)",E,"27,300","715,274,383",99.45
499,"Bush-mallow, San Clemente Island (Malacothamnus clementinus)",E,"27,300","715,301,683",99.46
505,"Catspaw, white (pearlymussel) (Epioblasma obliquata perobliqua)",E,"27,200","715,328,883",99.46
506,Hedyotis parvula (=Sci name),E,"26,940","715,355,823",99.46
507,"Catspaw (=purple cat's paw pearlymussel) (Epioblasma obliquataobliquata)",E,"26,766","715,382,589",99.47
508,"Frankenia, Johnston's (Frankenia johnstonii)",E,"26,700","715,409,289",99.47
509,"Phlox, Yreka (Phlox hirsuta)",E,"26,600","715,435,889",99.47
509,Wireweed (Polygonella basiramia),E,"26,600","715,462,489",99.48
511,"Bear-poppy, dwarf (Arctomecon humilis)",E,"26,000","715,488,489",99.48
512,"Cactus, star (Astrophytum asterias)",E,"25,900","715,514,389",99.49
513,"Ziziphus, Florida (Ziziphus celata)",E,"25,600","715,539,989",99.49
514,"Shrimp, California freshwater (Syncaris pacifica)",E,"25,500","715,565,489",99.49
515,"Cactus, Winkler (Pediocactus winkleri)",T,"25,400","715,590,889",99.5
516,"Monarch, Tinian (old world flycatcher) (Monarcha takatsukasae)",T,"25,300","715,616,189",99.5
517,"Salamander, San Marcos (Eurycea nana)",T,"25,000","715,641,189",99.5
517,"Thistle, Suisun (Cirsium hydrophilum var. hydrophilum)",E,"25,000","715,666,189",99.51
519,"Stickseed, showy (Hackelia venusta)",E,"24,680","715,690,869",99.51
520,"Piperia, Yadon's (Piperia yadonii)",E,"24,612","715,715,481",99.51
521,"Dace, desert (Eremichthys acros)",T,"24,200","715,739,681",99.52
522,"Butterfly, callippe silverspot (Speyeria callippe callippe)",E,"24,000","715,763,681",99.52
523,"Bankclimber, purple (mussel) (Elliptoideus sloatianus)",T,"23,800","715,787,481",99.52
523,"Brodiaea, thread-leaved (Brodiaea filifolia)",T,"23,800","715,811,281",99.53
525,"Milk-vetch, Sentry (Astragalus cremnophylax var. cremnophylax)",E,"23,600","715,834,881",99.53
525,Sandlace (Polygonella myriophylla),E,"23,600","715,858,481",99.53
527,"Darter, watercress (Etheostoma nuchale)",E,"23,500","715,881,981",99.54
528,"Tarplant, Gaviota (Hemizonia increscens ssp. villosa)",E,"23,400","715,905,381",99.54
529,`Ohe`ohe (Tetraplasandra gymnocarpa),E,"23,384","715,928,765",99.54
530,"Woodpecker, ivory-billed (Campephilus principalis)",E,"23,000","715,951,765",99.55
531,"Meadowfoam, Sebastopol (Limnanthes vinculans)",E,"22,900","715,974,665",99.55
532,"Skullcap, large-flowered (Scutellaria montana)",E,"22,800","715,997,465",99.55
533,"Minnow, Devils River (Dionda diaboli)",T,"22,160","716,019,625",99.56
534,"Lousewort, Furbish (Pedicularis furbishiae)",E,"21,900","716,041,525",99.56
535,"Spinymussel, James (Pleurobema collina)",E,"21,834","716,063,359",99.56
536,"Wallflower, Ben Lomond (Erysimum teretifolium)",E,"21,500","716,084,859",99.56
537,"Amphipod, Peck's cave (Stygobromus (=Stygonectes) pecki)",E,"21,400","716,106,259",99.57
538,"Butterfly, Behren's silverspot (Speyeria zerene behrensii)",E,"21,300","716,127,559",99.57
539,"Fern, American hart's-tongue (Asplenium scolopendrium var.americanum)",T,"20,800","716,148,359",99.57
540,"Crayfish, cave (Cambarus zophonastes)",E,"20,500","716,168,859",99.58
541,"Mouse, St. Andrew beach (Peromyscus polionotus peninsularis)",E,"20,250","716,189,109",99.58
542,"Beetle, Comal Springs riffle (Heterelmis comalensis)",E,"19,700","716,208,809",99.58
543,"Creeper, Hawaii (Oreomystis mana)",E,"19,600","716,228,409",99.58
544,"Irisette, white (Sisyrinchium dichotomum)",E,"19,200","716,247,609",99.59
544,"Lichen, rock gnome (Gymnoderma lineare)",E,"19,200","716,266,809",99.59
546,Geocarpon minimum (=Sci name),T,"19,100","716,285,909",99.59
546,"Beauty, Harper's (Harperocallis flava)",E,"19,100","716,305,009",99.59
548,"Goldfields, Burke's (Lasthenia burkei)",E,"18,900","716,323,909",99.6
549,"Rosemary, Cumberland (Conradina verticillata)",T,"18,625","716,342,534",99.6
550,"Daisy, Willamette (Erigeron decumbens var. decumbens)",E,"18,500","716,361,034",99.6
551,"Chub, Sonora (Gila ditaenia)",T,"18,110","716,379,144",99.61
552,"Shrimp, Kentucky cave (Palaemonias ganteri)",E,"18,000","716,397,144",99.61
552,Neraudia ovata (=Sci name),E,"18,000","716,415,144",99.61
552,"Aster, Ruth's golden (Pityopsis ruthii)",E,"18,000","716,433,144",99.61
555,"Vole, Hualapai Mexican (Microtus mexicanus hualpaiensis)",E,"17,800","716,450,944",99.62
555,"Akepa, Maui (honeycreeper) (Loxops coccineus ochraceus)",E,"17,800","716,468,744",99.62
557,Honohono (Haplostachys haplostachya),E,"17,700","716,486,444",99.62
558,"Crayfish, cave (Cambarus aculabrum)",E,"17,500","716,503,944",99.62
558,Asplenium fragile var. insulare (=Sci name),E,"17,500","716,521,444",99.63
560,"Bladderpod, Zapata (Lesquerella thamnophila)",E,"17,000","716,538,444",99.63
561,"Potato-bean, Price's (Apios priceana)",T,"16,925","716,555,369",99.63
561,"Coneflower, Tennessee purple (Echinacea tennesseensis)",E,"16,925","716,572,294",99.63
563,"Sunshine, Sonoma (Blennosperma bakeri)",E,"16,900","716,589,194",99.63
564,Po`e (Portulaca sclerocarpa),E,"16,750","716,605,944",99.64
565,`Ahinahina (Argyroxiphium sandwicense ssp. sandwicense),E,"16,600","716,622,544",99.64
566,Ring pink (mussel) (Obovaria retusa),E,"16,266","716,638,810",99.64
567,"Spineflower, Orcutt's (Chorizanthe orcuttiana)",E,"16,231","716,655,041",99.64
568,"Yellowhead, desert (Yermo xanthocephalus)",T,"16,025","716,671,066",99.65
569,"Mountain beaver, Point Arena (Aplodontia rufa nigra)",E,"16,000","716,687,066",99.65
569,"Toad, Puerto Rican crested (Peltophryne lemur)",T,"16,000","716,703,066",99.65
569,"Bittercress, small-anthered (Cardamine micranthera)",E,"16,000","716,719,066",99.65
569,Kio`ele (Hedyotis coriacea),E,"16,000","716,735,066",99.65
569,"Blue-star, Kearney's (Amsonia kearneyana)",E,"16,000","716,751,066",99.66
569,"Lily, Minnesota dwarf trout (Erythronium propullans)",E,"16,000","716,767,066",99.66
575,Tetramolopium arenarium (=Sci name),E,"15,900","716,782,966",99.66
576,Stenogyne angustifolia var. angustifolia (=Sci name),E,"15,800","716,798,766",99.66
576,Silene hawaiiensis (=Sci name),T,"15,800","716,814,566",99.67
578,"Madtom, pygmy (Noturus stanauli)",E,"15,500","716,830,066",99.67
579,"Manzanita, Del Mar (Arctostaphylos glandulosa ssp. crassifolia)",E,"15,331","716,845,397",99.67
580,"Whitlow-wort, papery (Paronychia chartacea)",T,"15,100","716,860,497",99.67
581,"Gambusia, Clear Creek (Gambusia heterochir)",E,"15,000","716,875,497",99.67
581,"Shrimp, Alabama cave (Palaemonias alabamae)",E,"15,000","716,890,497",99.68
581,"Ambrosia, south Texas (Ambrosia cheiranthifolia)",E,"15,000","716,905,497",99.68
581,"Mallow, Kern (Eremalche kernensis)",E,"15,000","716,920,497",99.68
581,"Lessingia, San Francisco (Lessingia germanorum (=L.g. var.germanorum))",E,"15,000","716,935,497",99.68
586,"Joint-vetch, sensitive (Aeschynomene virginica)",T,"14,900","716,950,397",99.68
587,"Flannelbush, Mexican (Fremontodendron mexicanum)",E,"14,731","716,965,128",99.69
588,"Beetle, Comal Springs dryopid (Stygoparnus comalensis)",E,"14,700","716,979,828",99.69
589,"Sand-verbena, large-fruited (Abronia macrocarpa)",E,"14,500","716,994,328",99.69
590,"Shiner, beautiful (Cyprinella formosa)",T,"14,435","717,008,763",99.69
591,"Jewelflower, California (Caulanthus californicus)",E,"14,200","717,022,963",99.69
592,"Snail, Stock Island tree (Orthalicus reses (not incl. nesodryas))",T,"14,100","717,037,063",99.7
592,"Reed-mustard, shrubby (Schoenocrambe suffrutescens)",E,"14,100","717,051,163",99.7
592,"Prickly-apple, fragrant (Cereus eriophorus var. fragrans)",E,"14,100","717,065,263",99.7
595,"Chub, Yaqui (Gila purpurea)",E,"14,060","717,079,323",99.7
596,"Gambusia, Big Bend (Gambusia gaigei)",E,"14,000","717,093,323",99.7
596,"Goldenrod, Short's (Solidago shortii)",E,"14,000","717,107,323",99.71
596,"Reed-mustard, clay (Schoenocrambe argillacea)",T,"14,000","717,121,323",99.71
599,Hesperomannia arborescens (=Sci name),E,"13,884","717,135,207",99.71
600,Phyllostegia hirsuta (=Sci name),E,"13,684","717,148,891",99.71
601,`Oha wai (Clermontia samuelii),E,"13,430","717,162,321",99.71
602,"Whale, finback (Balaenoptera physalus)",E,"13,404","717,175,725",99.72
603,"Buckwheat, Ione (incl. Irish Hill) (Eriogonum apricum (incl. var.prostratum))",E,"13,400","717,189,125",99.72
604,Haha (Cyanea acuminata),E,"13,384","717,202,509",99.72
604,Haha (Cyanea koolauensis),E,"13,384","717,215,893",99.72
606,"Geranium, Hawaiian red-flowered (Geranium arboreum)",E,"13,330","717,229,223",99.72
606,Wawae`iole (Huperzia mannii),E,"13,330","717,242,553",99.73
608,Pteris lidgatei (=Sci name),E,"13,084","717,255,637",99.73
609,"Flannelbush, Pine Hill (Fremontodendron californicum ssp.decumbens)",E,"13,000","717,268,637",99.73
