TABLE 3. FY 2009 REPORTED LAND ACQUISITION EXPENDITURES FOR ENDANGERED AND THREATENED SPECIES,,,,,,,,
,,,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Fed Total,States Total,Species Total
,59,"Bedstraw, El",E,$0 ,"$250,500 ","$250,500 ",$0 ,"$250,500 "
,,Dorado (Galium,,,,,,
,,californicum ssp.,,,,,,
,,sierrae),,,,,,
,64,"Bird's beak,",E,"$190,798 ",$0 ,"$190,798 ",$0 ,"$190,798 "
,,palmate-bracted,,,,,,
,,(Cordylanthus,,,,,,
,,palmatus),,,,,,
,70,"Blazingstar, Ash",T,"$145,000 ",$0 ,"$145,000 ",$0 ,"$145,000 "
,,Meadows,,,,,,
,,(Mentzelia,,,,,,
,,leucophylla),,,,,,
,97,"Blazingstar,",E,"$6,000 ",$0 ,"$6,000 ",$0 ,"$6,000 "
,,scrub (Liatris,,,,,,
,,ohlingerae),,,,,,
,97,"Bonamia, Florida",T,"$6,000 ",$0 ,"$6,000 ",$0 ,"$6,000 "
,,(Bonamia,,,,,,
,,grandiflora),,,,,,
,97,"Buckwheat,",T,"$6,000 ",$0 ,"$6,000 ",$0 ,"$6,000 "
,,scrub,,,,,,
,,(Eriogonum,,,,,,
,,longifolium var.,,,,,,
,,gnaphalifolium),,,,,,
,35,"Bush-clover,",T,"$1,122,454 ",$0 ,"$1,122,454 ",$0 ,"$1,122,454 "
,,prairie (Lespede-,,,,,,
,,za leptostachya),,,,,,
,59,"Butterweed,",T,$0 ,"$250,500 ","$250,500 ",$0 ,"$250,500 "
,,Layne's (Senecio,,,,,,
,,layneae),,,,,,
,91,"Button-celery,",E,"$12,500 ",$0 ,"$12,500 ",$0 ,"$12,500 "
,,San Diego,,,,,,
,,(Eryngium,,,,,,
,,aristulatum var.,,,,,,
,,parishii),,,,,,
,84,"Cactus, Key tree",E,"$33,625 ",$0 ,"$33,625 ",$0 ,"$33,625 "
,,(Pilosocereus,,,,,,
,,robinii),,,,,,
,70,"Centaury, spring-",T,"$145,000 ",$0 ,"$145,000 ",$0 ,"$145,000 "
,,loving,,,,,,
,,(Centaurium,,,,,,
,,namophilum),,,,,,
,77,"Clover, running",E,"$88,380 ",$0 ,"$88,380 ",$0 ,"$88,380 "
,,buffalo,,,,,,
,,(Trifolium,,,,,,
,,stoloniferum),,,,,,
,77,"Daisy, lakeside",T,"$88,380 ",$0 ,"$88,380 ",$0 ,"$88,380 "
,,(Hymenoxys,,,,,,
,,herbacea),,,,,,
,97,"Fringe-tree,",E,"$6,000 ",$0 ,"$6,000 ",$0 ,"$6,000 "
,,pygmy,,,,,,
,,(Chionanthus,,,,,,
,,pygmaeus),,,,,,
,70,"Gumplant, Ash",T,"$145,000 ",$0 ,"$145,000 ",$0 ,"$145,000 "
,,Meadows,,,,,,
,,(Grindelia,,,,,,
,,fraxino-,,,,,,
,,pratensis),,,,,,
,96,"Howellia, water",T,$0 ,"$6,400 ","$6,400 ",$0 ,"$6,400 "
,,(Howellia,,,,,,
,,aquatilis),,,,,,
,66,"Iris, dwarf lake",T,"$189,531 ",$0 ,"$189,531 ",$0 ,"$189,531 "
,,(Iris lacustris),,,,,,
,70,"Ivesia, Ash",T,"$145,000 ",$0 ,"$145,000 ",$0 ,"$145,000 "
,,Meadows (Ivesia,,,,,,
,,kingii  eremica),,,,,,
,14,"Ladies'-tresses,",T,$0 ,"$3,167,000 ","$3,167,000 ",$0 ,"$3,167,000 "
,,Ute (Spiranthes,,,,,,
,,diluvialis),,,,,,
,66,"Locoweed,",T,"$189,531 ",$0 ,"$189,531 ",$0 ,"$189,531 "
,,Fassett's,,,,,,
,,(Oxytropis,,,,,,
,,campestris var.,,,,,,
,,chartacea),,,,,,
,87,"Manioc, Walker's",E,"$23,685 ",$0 ,"$23,685 ",$0 ,"$23,685 "
,,(Manihot,,,,,,
,,walkerae),,,,,,
,91,"Mesa-mint, Otay",E,"$12,500 ",$0 ,"$12,500 ",$0 ,"$12,500 "
,,(Pogogyne,,,,,,
,,nudiuscula),,,,,,
,91,"Mesa-mint, San",E,"$12,500 ",$0 ,"$12,500 ",$0 ,"$12,500 "
,,Diego (Pogogyne,,,,,,
,,abramsii),,,,,,
,70,"Milk-vetch, Ash",T,"$145,000 ",$0 ,"$145,000 ",$0 ,"$145,000 "
,,meadows (Astra-,,,,,,
,,galus phoenix),,,,,,
,97,"Mint, Garrett's",E,"$6,000 ",$0 ,"$6,000 ",$0 ,"$6,000 "
,,(Dicerandra,,,,,,
,,christmanii),,,,,,
,70,"Niterwort,",E,"$145,000 ",$0 ,"$145,000 ",$0 ,"$145,000 "
,,Amargosa,,,,,,
,,(Nitrophila,,,,,,
,,mohavensis),,,,,,
,79,Geocarpon,T,$0 ,$0 ,$0 ,"$83,200 ","$83,200 "
,,minimum,,,,,,
,56,"Orchid, eastern",T,"$277,911 ",$0 ,"$277,911 ","$84,900 ","$362,811 "
,,prairie fringed,,,,,,
,,(Platanthera,,,,,,
,,leucophaea),,,,,,
,17,"Orchid, western",T,"$2,752,880 ",$0 ,"$2,752,880 ",$0 ,"$2,752,880 "
,,prairie fringed,,,,,,
,,(Platanthera,,,,,,
,,praeclara),,,,,,
,91,"Orcutt grass,",E,"$12,500 ",$0 ,"$12,500 ",$0 ,"$12,500 "
,,California,,,,,,
,,(Orcuttia,,,,,,
,,californica),,,,,,
,97,Pigeon wings,T,"$6,000 ",$0 ,"$6,000 ",$0 ,"$6,000 "
,,(Clitoria,,,,,,
,,fragrans),,,,,,
,69,"Pink, swamp",T,"$157,423 ",$0 ,"$157,423 ",$0 ,"$157,423 "
,,(Helonias,,,,,,
,,bullata),,,,,,
,97,"Plum, scrub",E,"$6,000 ",$0 ,"$6,000 ",$0 ,"$6,000 "
,,(Prunus,,,,,,
,,geniculata),,,,,,
,68,"Rosemary,",E,$0 ,$0 ,$0 ,"$170,500 ","$170,500 "
,,Etonia (Conra-,,,,,,
,,dina etonia),,,,,,
,84,"Spurge, Garber's",T,"$33,625 ",$0 ,"$33,625 ",$0 ,"$33,625 "
,,(Chamaesyce,,,,,,
,,garberi),,,,,,
,70,"Sunray, Ash",T,"$145,000 ",$0 ,"$145,000 ",$0 ,"$145,000 "
,,Meadows,,,,,,
,,(Enceliopsis,,,,,,
,,nudicaulis var.,,,,,,
,,corrugata),,,,,,
,66,"Thistle, Pitcher's",T,"$189,531 ",$0 ,"$189,531 ",$0 ,"$189,531 "
,,(Cirsium,,,,,,
,,pitcheri),,,,,,
,80,"Water-umbel,",E,"$75,247 ",$0 ,"$75,247 ",$0 ,"$75,247 "
,,Huachuca,,,,,,
,,(Lilaeopsis,,,,,,
,,schaffneriana,,,,,,
,,var. recurva),,,,,,
,97,"Whitlow-wort,",T,"$6,000 ",$0 ,"$6,000 ",$0 ,"$6,000 "
,,papery,,,,,,
,,(Paronychia,,,,,,
,,chartacea),,,,,,
,97,Wireweed,E,"$6,000 ",$0 ,"$6,000 ",$0 ,"$6,000 "
,,(Polygonella,,,,,,
,,basiramia),,,,,,
Flowering,,,,"$6,532,001 ","$3,674,400 ","$10,206,401 ","$718,600 ","$10,925,001 "
Plants,,,,,,,,
subtotal,,,,,,,,
Total  Land,,,,"$36,572,287 ","$152,025,713 ","$188,598,000 ","$29,272,200 ","$217,870,200 "
Expenditures,,,,,,,,
