Group Name,Rank,Species (50 CFR 17),Status,FWS To tal,Other Fed,Federal Total,States Total,Species Total
"",129,"Blazingstar, scrub",E,"$2,067",$0,"$2,067",$150,"$2,217"
"",,(Liatris ohlingerae),,,,,,
"",115,"Bonamia, Florida",T,"$2,067",$0,"$2,067","$24,500","$26,567"
"",,(Bonamia grandiflora),,,,,,
"",131,"Buckwheat, scrub",T,"$2,067",$0,"$2,067",$0,"$2,067"
"",,(Eriogonum longifolium,,,,,,
"",,var. gnaphalifolium),,,,,,
"",112,"Button-celery, San",E,"$34,117",$0,"$34,117",$0,"$34,117"
"",,Diego (Eryngium aris-,,,,,,
"",,tulatum var. parishii),,,,,,
"",119,"Cactus, Key tree",E,"$18,714",$0,"$18,714",$0,"$18,714"
"",,(Pilosocereus robinii),,,,,,
"",87,"Coneflower, smooth",E,$0,$0,$0,"$201,273","$201,273"
"",,(Echinacea laevigata),,,,,,
"",98,"Dogweed, ashy",E,"$127,767",$0,"$127,767",$0,"$127,767"
"",,(Thymophylla,,,,,,
"",,tephroleuca),,,,,,
"",98,"Frankenia, Johnston's",E,"$127,767",$0,"$127,767",$0,"$127,767"
"",,(Frankenia johnstonii),,,,,,
"",131,"Fringe-tree, pygmy",E,"$2,067",$0,"$2,067",$0,"$2,067"
"",,(Chionanthus,,,,,,
"",,pygmaeus),,,,,,
"",56,"Howellia, water",T,"$677,000",$0,"$677,000",$0,"$677,000"
"",,(Howellia aquatilis),,,,,,
"",135,"Hypericum, highlands",E,$0,$0,$0,$700,$700
"",,scrub (Hypericum,,,,,,
"",,cumulicola),,,,,,
"",66,"Iris, dwarf lake (Iris",T,"$446,000",$0,"$446,000",$0,"$446,000"
"",,lacustris),,,,,,
"",46,"Ladies'-tresses, Ute",T,$0,"$1,201,000","$1,201,000",$0,"$1,201,000"
"",,(Spiranthes diluvialis),,,,,,
"",128,"Loosestrife, rough-",E,$0,$0,$0,"$2,500","$2,500"
"",,leaved (Lysimachia,,,,,,
"",,asperulaefolia),,,,,,
"",81,"Lupine, Kincaid's",T,$0,"$250,000","$250,000",$0,"$250,000"
"",,(Lupinus sulphureus,,,,,,
"",,(=oreganus) ssp.,,,,,,
"",,kincaidii (=var.,,,,,,
"",,kincaidii)),,,,,,
Group Name,Rank,Species (50 CFR 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",131,"Lupine, scrub (Lupinus",E,"$2,067",$0,"$2,067",$0,"$2,067"
"",,aridorum),,,,,,
"",98,"Manioc, Walker's",E,"$127,767",$0,"$127,767",$0,"$127,767"
"",,(Manihot walkerae),,,,,,
"",112,"Mesa-mint, Otay",E,"$34,117",$0,"$34,117",$0,"$34,117"
"",,(Pogogyne nudiuscula),,,,,,
"",112,"Mesa-mint, San Diego",E,"$34,117",$0,"$34,117",$0,"$34,117"
"",,(Pogogyne abramsii),,,,,,
"",42,"Milk-vetch, Jesup's",E,"$1,300,500",$0,"$1,300,500",$0,"$1,300,500"
"",,(Astragalus robbinsii,,,,,,
"",,var. jesupi),,,,,,
"",131,"Mint, Garrett's",E,"$2,067",$0,"$2,067",$0,"$2,067"
"",,(Dicerandra,,,,,,
"",,christmanii),,,,,,
"",111,"Mint, scrub",E,$0,$0,$0,"$37,000","$37,000"
"",,(Dicerandra frutescens),,,,,,
"",117,"Mustard, Carter's",E,$0,$0,$0,"$24,500","$24,500"
"",,(Warea carteri),,,,,,
"",96,"Navarretia, spreading",T,$0,"$140,800","$140,800",$0,"$140,800"
"",,(Navarretia fossalis),,,,,,
"",54,Geocarpon minimum,T,$0,$0,$0,"$735,500","$735,500"
"",136,"Orchid, western prairie",T,$0,$500,$500,$0,$500
"",,fringed (Platanthera,,,,,,
"",,praeclara),,,,,,
"",112,"Orcutt grass, California",E,"$34,117",$0,"$34,117",$0,"$34,117"
"",,(Orcuttia californica),,,,,,
"",88,"Owl's-clover, fleshy",T,$0,"$200,000","$200,000",$0,"$200,000"
"",,(Castilleja campestris,,,,,,
"",,ssp. succulenta),,,,,,
"",121,"Pawpaw, four-petal",E,"$13,000",$0,"$13,000",$0,"$13,000"
"",,(Asimina tetramera),,,,,,
"",131,Pigeon wings (Clitoria,T,"$2,067",$0,"$2,067",$0,"$2,067"
"",,fragrans),,,,,,
"",71,"Pink, swamp (Helonias",T,"$400,078",$0,"$400,078",$0,"$400,078"
"",,bullata),,,,,,
"",124,"Plum, scrub (Prunus",E,"$2,067",$0,"$2,067","$3,500","$5,567"
"",,geniculata),,,,,,
"",128,Sandlace (Polygonella,E,$0,$0,$0,"$2,500","$2,500"
"",,myriophylla),,,,,,
"",134,Snakeroot (Eryngium,E,$0,$0,$0,"$1,000","$1,000"
"",,cuneifolium),,,,,,
"",119,"Spurge, Garber's",T,"$18,714",$0,"$18,714",$0,"$18,714"
"",,(Chamaesyce garberi),,,,,,
"",88,"Sunburst, Hartweg's",E,$0,"$200,000","$200,000",$0,"$200,000"
"",,golden (Pseudobahia,,,,,,
"",,bahiifolia),,,,,,
"",101,"Water-umbel, Huachuca",E,"$114,521",$0,"$114,521",$0,"$114,521"
"",,(Lilaeopsis,,,,,,
"",,schaffneriana var.,,,,,,
"",,recurva),,,,,,
"",114,"Whitlow-wort, papery",T,"$2,067",$0,"$2,067","$25,000","$27,067"
"",,(Paronychia chartacea),,,,,,
"",127,Wireweed (Polygonella,E,"$2,067",$0,"$2,067","$2,000","$4,067"
"",,basiramia),,,,,,
Flowering,,,,"$4,085,471","$1,992,300","$6,077,771","$1,085,123","$7,162,894"
Plants,,,,,,,,
subtotal,,,,,,,,
Conifers and,20,"Torreya, Florida",E,$0,$0,$0,"$3,557,000","$3,557,000"
Cycads,,(Torreya taxifolia),,,,,,
Conifers and,,,,$0,$0,$0,"$3,557,000","$3,557,000"
Cycads,,,,,,,,
subtotal,,,,,,,,
Ferns and,123,"Fern, Aleutian shield",E,"$8,400",$0,"$8,400",$0,"$8,400"
Allies,,(Polystichum,,,,,,
"",,aleuticum),,,,,,
Ferns and,,,,"$8,400",$0,"$8,400",$0,"$8,400"
Allies,,,,,,,,
subtotal,,,,,,,,
Group Name,Rank,Species (50 CFR 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
Lichens,131,"Cladonia, Florida",E,"$2,067",$0,"$2,067",$0,"$2,067"
"",,perforate (Cladonia,,,,,,
"",,perforata),,,,,,
Lichens,,,,"$2,067",$0,"$2,067",$0,"$2,067"
subtotal,,,,,,,,
Total  Land,,,,"$42,490,299","$241,571,318","$284,061,617","$22,121,235","$306,182,852"
Expenditures,,,,,,,,
